Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.128.0.2-10.0.0.2-49590-80-6,10.128.0.2,49590,10.0.0.2,80,6,05/08/2018 07:08:12 PM,245654,11,12,366.0,10988.0,366.0,0.0,33.272727272727266,110.35315211546148,1408.0,0.0,915.6666666666666,680.7300003182858,46219.47943041839,93.6276225911241,11166.090909090906,35923.45369029767,122225.0,3.0,123389.0,12338.9,38780.48168129598,122710.0,21.0,245654.0,22332.181818181816,49376.72671779323,122225.0,11.0,0,0,0,0,304,400,44.778428195755005,48.849194395369096,0.0,1408.0,473.08333333333326,656.7786945563844,431358.2536231884,0,1,0,0,0,0,0,0,1.0,493.6521739130435,33.27272727272727,915.6666666666666,0,0,0,0,0,0,11,366,12,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49591-80-6,10.128.0.2,49591,10.0.0.2,80,6,05/08/2018 07:08:13 PM,245906,11,12,366.0,10988.0,366.0,0.0,33.272727272727266,110.35315211546148,1408.0,0.0,915.6666666666666,680.7300003182858,46172.11454783535,93.53167470496857,11177.545454545454,35945.775647861694,122399.0,2.0,123459.0,12345.899999999998,38736.939090485714,122593.0,10.0,245906.0,22355.090909090908,49408.095096764344,122399.0,11.0,0,0,0,0,292,400,44.73254007628931,48.79913462867925,0.0,1408.0,473.08333333333326,656.7786945563844,431358.2536231884,0,1,0,0,0,0,0,0,1.0,493.6521739130435,33.27272727272727,915.6666666666666,0,0,0,0,0,0,11,366,12,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49592-80-6,10.128.0.2,49592,10.0.0.2,80,6,05/08/2018 07:08:13 PM,245304,11,12,333.0,10988.0,333.0,0.0,30.27272727272727,100.40327774439528,1408.0,0.0,915.6666666666666,680.7300003182858,46150.89847699182,93.76121057952581,11150.181818181818,35863.564984451,122197.0,3.0,123049.0,12304.9,38641.690897699256,122281.0,17.0,245304.0,22300.363636363632,49296.530758812485,122197.0,14.0,0,0,0,0,304,400,44.84231810325148,48.91889247627434,0.0,1408.0,471.70833333333337,657.0471149254702,431710.911231884,0,1,0,0,0,0,0,0,1.0,492.2173913043478,30.272727272727273,915.6666666666666,0,0,0,0,0,0,11,333,12,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49593-80-6,10.128.0.2,49593,10.0.0.2,80,6,05/08/2018 07:08:13 PM,245057,11,12,333.0,10988.0,333.0,0.0,30.27272727272727,100.40327774439528,1408.0,0.0,915.6666666666666,680.7300003182858,46197.41529521703,93.85571520095326,11138.954545454546,35820.06608230494,121886.0,4.0,123128.0,12312.800000000003,38654.025717611585,122324.0,34.0,245057.0,22277.909090909096,49231.46579466133,121886.0,14.0,0,0,0,0,292,400,44.887515965673295,48.968199235279954,0.0,1408.0,471.70833333333337,657.0471149254702,431710.911231884,0,1,0,0,0,0,0,0,1.0,492.2173913043478,30.272727272727273,915.6666666666666,0,0,0,0,0,0,11,333,12,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49595-80-6,10.128.0.2,49595,10.0.0.2,80,6,05/08/2018 07:08:13 PM,244801,11,12,319.0,10988.0,319.0,0.0,29.0,96.18211892030659,1408.0,0.0,915.6666666666666,680.7300003182858,46188.536811532635,93.9538645675467,11127.318181818182,35787.35985470471,121768.0,7.0,122980.0,12297.999999999996,38584.39610343366,122111.0,32.0,244801.0,22254.636363636368,49194.1876734899,121768.0,15.0,0,0,0,0,292,400,44.934456967087556,49.019407600459154,0.0,1408.0,471.1249999999999,657.1818167123854,431887.9402173913,0,1,0,0,0,0,0,0,1.0,491.60869565217394,29.0,915.6666666666666,0,0,0,0,0,0,11,319,12,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49596-80-6,10.128.0.2,49596,10.0.0.2,80,6,05/08/2018 07:08:14 PM,245972,11,12,319.0,10988.0,319.0,0.0,29.0,96.18211892030659,1408.0,0.0,915.6666666666666,680.7300003182858,45968.64683785146,93.50657798448604,11180.545454545452,35955.07766475811,122465.0,5.0,123465.0,12346.500000000002,38777.102322117884,122708.0,42.0,245972.0,22361.090909090908,49416.85868295261,122465.0,18.0,0,0,0,0,292,400,44.72053729692811,48.786040687557936,0.0,1408.0,471.1249999999999,657.1818167123854,431887.9402173913,0,1,0,0,0,0,0,0,1.0,491.60869565217394,29.0,915.6666666666666,0,0,0,0,0,0,11,319,12,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49597-80-6,10.128.0.2,49597,10.0.0.2,80,6,05/08/2018 07:08:14 PM,244823,10,11,363.0,10988.0,363.0,0.0,36.3,114.79067906411218,2816.0,0.0,998.9090909090909,902.6398456245387,46364.10794737422,85.7762546819539,12241.149999999998,37445.790666782916,121814.0,5.0,122970.0,13663.33333333333,40706.54925807394,122214.0,16.0,244823.0,24482.3,51276.12121326824,121814.0,11.0,0,0,0,0,260,368,40.84583556283519,44.93041911911871,0.0,2816.0,515.9545454545455,798.7719429744118,638036.6168831169,0,1,0,0,0,0,0,0,1.0,540.5238095238095,36.3,998.9090909090909,0,0,0,0,0,0,10,363,11,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49598-80-6,10.128.0.2,49598,10.0.0.2,80,6,05/08/2018 07:08:14 PM,245479,11,12,363.0,10988.0,363.0,0.0,33.0,109.4486180817282,1408.0,0.0,915.6666666666666,680.7300003182858,46240.20792002574,93.694368968425,11158.136363636366,35900.7405976076,122200.0,5.0,123237.0,12323.7,38707.11737609334,122486.0,21.0,245479.0,22316.272727272735,49345.21588176691,122200.0,16.0,0,0,0,0,304,400,44.81035037620326,48.884018592221736,0.0,1408.0,472.95833333333337,656.8002461980333,431386.5634057971,0,1,0,0,0,0,0,0,1.0,493.5217391304348,33.0,915.6666666666666,0,0,0,0,0,0,11,363,12,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49599-80-6,10.128.0.2,49599,10.0.0.2,80,6,05/08/2018 07:08:14 PM,245598,11,12,340.0,10988.0,340.0,0.0,30.90909090909091,102.51385715643961,1408.0,0.0,915.6666666666666,680.7300003182858,46124.154105489455,93.6489710828264,11163.545454545456,35896.647857461525,122190.0,3.0,123364.0,12336.4,38752.21723319698,122627.0,9.0,245598.0,22327.09090909091,49334.78921299765,122190.0,11.0,0,0,0,0,292,400,44.78863834396046,48.86033273886595,0.0,1408.0,472.0,656.9844151417371,431628.5217391304,0,1,0,0,0,0,0,0,1.0,492.5217391304348,30.90909090909091,915.6666666666666,0,0,0,0,0,0,11,340,12,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-49600-80-6,10.128.0.2,49600,10.0.0.2,80,6,05/08/2018 07:08:15 PM,246034,11,12,340.0,10988.0,340.0,0.0,30.90909090909091,102.51385715643961,1408.0,0.0,915.6666666666666,680.7300003182858,46042.416901729026,93.48301454270548,11183.363636363636,35982.87719715145,122605.0,2.0,123392.0,12339.2,38808.824671716095,122791.0,13.0,246034.0,22366.72727272727,49456.695734937464,122605.0,6.0,0,0,0,0,304,400,44.70926782477218,48.77374671793329,0.0,1408.0,472.0,656.9844151417371,431628.5217391304,0,1,0,0,0,0,0,0,1.0,492.5217391304348,30.90909090909091,915.6666666666666,0,0,0,0,0,0,11,340,12,10988,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
