Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.2-10.0.2.15-80-58182-6,10.0.2.2,80,10.0.2.15,58182,6,16/08/2021 07:10:41 PM,976,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2049.1803278688526,976.0,0.0,976.0,976.0,0,0,0,0,0,976.0,976.0,0.0,976.0,976.0,0,0,0,0,0,64,0.0,2049.1803278688526,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.2-10.0.2.15-80-58106-6,10.0.2.2,80,10.0.2.15,58106,6,16/08/2021 07:07:30 PM,1951,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1025.1153254741157,1951.0,0.0,1951.0,1951.0,0,0,0,0,0,1951.0,1951.0,0.0,1951.0,1951.0,0,0,0,0,0,64,0.0,1025.1153254741157,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.2-10.0.2.15-80-58144-6,10.0.2.2,80,10.0.2.15,58144,6,16/08/2021 07:09:05 PM,1951,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1025.1153254741157,1951.0,0.0,1951.0,1951.0,0,0,0,0,0,1951.0,1951.0,0.0,1951.0,1951.0,0,0,0,0,0,64,0.0,1025.1153254741157,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.2-10.0.2.15-80-58100-6,10.0.2.15,58100,10.0.2.2,80,6,16/08/2021 07:07:15 PM,14639,4,4,72.0,1067.0,72.0,0.0,18.0,36.0,1067.0,0.0,266.75,533.5,77805.86105608307,546.4854156704694,2091.285714285714,2608.9153374717316,7809.0,0.0,11712.0,3904.0,5935.954261953169,10735.0,0.0,12687.0,4229.0,3428.2165917572943,7809.0,976.0,0,0,0,0,128,144,273.2427078352347,273.2427078352347,0.0,1067.0,126.55555555555556,353.46962780100046,124940.7777777778,0,1,0,0,0,0,0,0,1.0,142.375,18.0,266.75,0,0,0,0,0,0,4,72,4,1067,-1,91,1,0,0,0,0,0,0,0,0,0,No Label
10.0.2.2-10.0.2.15-80-58186-6,10.0.2.2,80,10.0.2.15,58186,6,16/08/2021 07:10:51 PM,1919,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1042.2094841063054,1919.0,0.0,1919.0,1919.0,0,0,0,0,0,1919.0,1919.0,0.0,1919.0,1919.0,0,0,0,0,0,64,0.0,1042.2094841063054,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.2-10.0.2.15-80-58102-6,10.0.2.2,80,10.0.2.15,58102,6,16/08/2021 07:07:20 PM,1952,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1024.5901639344263,1952.0,0.0,1952.0,1952.0,0,0,0,0,0,1952.0,1952.0,0.0,1952.0,1952.0,0,0,0,0,0,64,0.0,1024.5901639344263,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.2-10.0.2.15-80-58200-6,10.0.2.2,80,10.0.2.15,58200,6,16/08/2021 07:11:26 PM,1985,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1007.5566750629724,1985.0,0.0,1985.0,1985.0,0,0,0,0,0,1985.0,1985.0,0.0,1985.0,1985.0,0,0,0,0,0,64,0.0,1007.5566750629724,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.2-10.0.2.15-80-58242-6,10.0.2.2,80,10.0.2.15,58242,6,16/08/2021 07:13:12 PM,976,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2049.1803278688526,976.0,0.0,976.0,976.0,0,0,0,0,0,976.0,976.0,0.0,976.0,976.0,0,0,0,0,0,64,0.0,2049.1803278688526,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.2-10.0.2.15-80-58170-6,10.0.2.2,80,10.0.2.15,58170,6,16/08/2021 07:10:11 PM,1952,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1024.5901639344263,1952.0,0.0,1952.0,1952.0,0,0,0,0,0,1952.0,1952.0,0.0,1952.0,1952.0,0,0,0,0,0,64,0.0,1024.5901639344263,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.2-10.0.2.15-80-58208-6,10.0.2.2,80,10.0.2.15,58208,6,16/08/2021 07:11:46 PM,976,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2049.1803278688526,976.0,0.0,976.0,976.0,0,0,0,0,0,976.0,976.0,0.0,976.0,976.0,0,0,0,0,0,64,0.0,2049.1803278688526,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
